                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.3377,                  4.906,                 2.3175,                0.05525,                0.35376,                0.06827,                0.03685,                 1.3251,                 4.8692,                 1.5698,              7.644e-05,              7.644e-05,              7.644e-05
                      2,                0.86599,                 2.2992,                 1.2238,                0.51894,                0.55503,                0.48837,                 0.3616,                0.88754,                  3.758,                 1.4446,             0.00015562,             0.00015562,             0.00015562
                      3,                0.58319,                 1.3365,                 1.0171,                0.58527,                0.73142,                 0.6755,                0.58152,                0.55875,                 1.8044,                 1.0834,             0.00023153,             0.00023153,             0.00023153
                      4,                0.50617,                0.99823,                 0.9749,                0.74988,                0.84902,                0.82779,                0.74773,                0.44334,                0.91317,                0.96168,             0.00030419,             0.00030419,             0.00030419
                      5,                0.54169,                0.93241,                0.99127,                0.75033,                0.81549,                0.84522,                0.75078,                 0.4934,                0.85067,                0.98638,             0.00037359,             0.00037359,             0.00037359
                      6,                0.55633,                0.90785,                0.98026,                0.69401,                0.75721,                0.81499,                0.71531,                0.51407,                0.95592,                0.99432,             0.00043972,             0.00043972,             0.00043972
                      7,                 0.5361,                0.91397,                0.96904,                0.73604,                0.78776,                0.84436,                0.75989,                0.49679,                0.88785,                0.96154,              0.0005026,              0.0005026,              0.0005026
                      8,                0.57601,                0.82908,                0.98451,                0.94754,                0.77122,                 0.9147,                0.81321,                0.48319,                 0.8537,                0.94979,              0.0005065,              0.0005065,              0.0005065
                      9,                0.57405,                0.79856,                0.97533,                0.86893,                0.87191,                0.89697,                0.76896,                 0.5853,                0.64835,                 1.1365,              0.0005065,              0.0005065,              0.0005065
                     10,                 0.5367,                0.72618,                0.98318,                0.93397,                 0.9092,                0.96072,                0.88819,                0.43091,                0.56517,                 0.9247,             0.00049486,             0.00049486,             0.00049486
                     11,                0.50638,                0.70326,                0.94504,                0.92854,                0.95913,                0.97787,                0.89756,                0.43616,                0.53479,                 0.9163,             0.00048322,             0.00048322,             0.00048322
                     12,                0.52593,                0.73039,                 0.9428,                0.93873,                0.97217,                0.98335,                0.89048,                0.43887,                0.46365,                0.92902,             0.00047158,             0.00047158,             0.00047158
                     13,                0.51459,                0.63726,                0.95059,                0.94217,                 0.9515,                0.97197,                0.89351,                0.42544,                0.47621,                0.92278,             0.00045993,             0.00045993,             0.00045993
                     14,                0.48794,                0.60422,                0.93618,                0.88338,                0.94139,                0.96405,                0.87917,                0.41005,                0.51854,                0.89551,             0.00044829,             0.00044829,             0.00044829
                     15,                0.46457,                0.56634,                0.93607,                0.90068,                0.95729,                0.97422,                0.89321,                0.40215,                0.46226,                0.90243,             0.00043665,             0.00043665,             0.00043665
                     16,                0.48599,                0.58902,                0.92914,                0.87533,                0.94919,                 0.9693,                0.86801,                0.42937,                 0.5827,                 0.9354,             0.00042501,             0.00042501,             0.00042501
